id,crime,unemp,pop
09343,105,389,16403
09344,64,282,12401
09345,124,401,16367
09361,395,1155,40107
09364,232,803,25907
09367,144,471,19011
09384,83,381,13462
09386,314,706,30915
09407,377,690,26693
09411,127,455,19865
10201,4471,9702,340904
10202,3860,10975,364919
10203,1291,4240,128037
10204,3366,6632,202447
10205,3481,6524,213299
10206,424,1439,53177
10207,1048,2557,79454
10208,935,2865,87469
10209,713,2294,69288
10210,331,1425,53765
10211,411,1743,63179
10212,635,1728,52115
10344,80,415,14158
10345,183,522,18060
10366,11,28,1535
10367,9,44,2757
10382,37,258,10144
10383,10,46,2929
10384,87,339,14313
10421,114,391,19398
10424,53,122,6563
10425,67,130,10858
10426,77,171,7602
10428,26,122,4351
10429,167,349,16847
10443,42,102,5478
10444,19,76,4179
10448,36,153,7783
10449,147,575,23310
10464,445,1021,38168
10521,136,437,15865
10522,128,263,11326
10523,101,384,11620
10524,790,1861,41466
10525,290,976,27372
11100,19657,32598,1176314
11201,5807,9463,333795
11202,2958,6064,204675
11203,9609,15902,480079
11206,1169,2724,88815
11207,401,2122,70563
11208,4964,9136,336100
11209,1189,2453,84860
11210,1494,3553,115497
11211,1090,2457,81957
11212,1305,2533,91302
11214,3748,7712,238506
11215,2181,4872,158074
11216,702,1699,56693
11217,1541,3448,119594
11218,1928,4298,146461
11219,3251,6468,220232
11221,5426,7134,236316
11222,6915,8919,315792
11223,1757,2473,70010
11224,2464,3207,116696
11225,2118,5178,148576
11226,846,1852,58355
11227,1796,3324,124393
11228,1096,1894,67448
11229,1143,1743,76688
11230,2251,4430,153305
11231,1156,2184,73677
11232,2418,4732,154684
11233,899,2833,70126
11234,1809,3017,75507
11235,1589,3181,104748
11237,2483,3951,128278
11238,802,1845,63474
11239,1798,3665,98964
11240,895,2190,54006
11241,1220,2263,69783
11242,615,1671,53619
11243,1133,1579,60284
11245,1635,3848,101960
11301,619,1013,36535
11324,540,1113,37050
11326,530,1385,39122
11327,126,380,13356
11341,292,435,15434
11342,271,478,19479
11343,219,1154,35401
11346,274,618,22906
11347,184,640,22217
11348,111,504,15985
11349,82,386,13271
11361,39,245,9684
11362,63,349,11518
11363,47,258,8352
11365,47,410,14479
11369,18,76,3795
11381,107,380,11963
11383,106,433,15062
11385,421,905,30855
11408,389,1163,37061
11442,504,1038,34620
11445,466,1247,48389
11464,549,1507,46646
11465,369,902,30857
12100,18379,26599,924319
12202,773,2781,75020
